iter	Passed	Remaining
0	145	145082
1	147	73640
2	149	49728
3	151	37780
4	154	30686
5	156	25912
6	158	22458
7	160	19871
8	162	17850
9	163	16220
10	165	14900
11	167	13809
12	169	12873
13	171	12072
14	173	11382
15	175	10785
16	177	10247
17	179	9773
18	181	9352
19	182	8965
20	184	8622
21	186	8301
22	188	8009
23	190	7743
24	192	7499
25	194	7273
26	196	7066
27	197	6871
28	199	6686
29	201	6512
30	203	6352
31	205	6203
32	206	6065
33	209	5941
34	210	5813
35	212	5692
36	214	5579
37	216	5478
38	218	5376
39	219	5279
40	221	5189
41	223	5102
42	225	5016
43	227	4939
44	229	4862
45	231	4792
46	233	4725
47	235	4663
48	237	4607
49	239	4550
50	241	4493
51	243	4441
52	245	4391
53	247	4344
54	249	4294
55	251	4246
56	253	4198
57	255	4151
58	257	4108
59	259	4064
60	261	4024
61	263	3986
62	265	3945
63	266	3904
64	268	3866
65	270	3831
66	272	3796
67	274	3765
68	276	3734
69	278	3700
70	280	3668
71	282	3637
72	284	3609
73	286	3581
74	288	3553
75	290	3528
76	292	3503
77	294	3477
78	296	3453
79	298	3431
80	300	3407
81	302	3387
82	304	3365
83	306	3344
84	308	3322
85	310	3303
86	312	3283
87	314	3263
88	316	3243
89	318	3224
90	320	3206
91	323	3189
92	325	3172
93	327	3154
94	329	3140
95	331	3123
96	333	3105
97	335	3088
98	337	3072
99	339	3057
100	341	3042
101	343	3028
102	345	3012
103	348	2999
104	350	2986
105	352	2972
106	354	2960
107	356	2945
108	359	2938
109	361	2926
110	364	2916
111	366	2905
112	368	2891
113	370	2881
114	372	2869
115	375	2858
116	377	2849
117	379	2837
118	381	2827
119	383	2815
120	385	2803
121	388	2793
122	390	2783
123	392	2772
124	394	2761
125	396	2752
126	398	2742
127	400	2731
128	402	2720
129	405	2712
130	407	2702
131	409	2693
132	414	2702
133	417	2695
134	420	2696
135	423	2692
136	426	2685
137	428	2677
138	431	2670
139	433	2661
140	435	2653
141	437	2644
142	440	2638
143	442	2631
144	444	2623
145	447	2615
146	449	2606
147	451	2597
148	453	2588
149	454	2578
150	457	2570
151	459	2562
152	461	2556
153	463	2547
154	465	2539
155	467	2530
156	469	2523
157	471	2514
158	474	2508
159	476	2500
160	478	2492
161	480	2484
162	482	2476
163	484	2471
164	486	2462
165	488	2455
166	490	2447
167	492	2440
168	494	2433
169	496	2426
170	498	2418
171	500	2411
